Date,Product,Region,Sales
2022-02-20,Headphones,South,2060
2023-02-07,Camera,West,657
2022-01-05,Smartwatch,North,982
2023-04-11,Monitor,South,2294
2023-08-27,Monitor,West,4861
2023-11-13,Smartwatch,North,2767
2023-06-18,Headphones,East,4777
2023-02-09,Headphones,West,4890
2023-05-28,Headphones,North,1710
2023-10-07,Phone,West,3588
2022-08-21,Headphones,West,2554
2023-06-08,Tablet,West,4594
2022-12-12,Laptop,West,2046
2022-02-15,Headphones,West,4910
2023-06-30,Smartwatch,West,4899
2022-03-19,Laptop,North,2908
2023-12-31,Phone,East,3925
2022-03-14,Smartwatch,South,3636
2022-09-06,Laptop,West,3902
2022-02-16,Smartwatch,South,4277
2022-05-01,Phone,North,4799
2022-08-02,Tablet,West,2070
2022-08-27,Phone,East,3922
2022-02-25,Phone,South,2919
2022-12-16,Smartwatch,West,1002
2022-04-17,Camera,North,464
2022-02-17,Monitor,East,4358
2023-07-27,Headphones,South,3219
2022-12-03,Headphones,South,2658
2022-01-26,Tablet,West,1963
2022-09-14,Tablet,East,215
2022-01-08,Headphones,East,2484
2023-09-17,Monitor,East,4035
2022-09-10,Headphones,East,2590
2023-11-23,Camera,North,1042
2023-12-20,Monitor,East,1824
2022-10-30,Tablet,South,2434
2023-10-01,Laptop,South,2867
2022-02-25,Smartwatch,North,1237
2023-12-27,Camera,South,2627
2023-06-10,Camera,South,4217
2023-04-19,Tablet,East,3520
2022-01-28,Tablet,South,4878
2022-03-19,Phone,North,4006
2022-08-04,Camera,East,3737
2023-01-21,Phone,West,3053
2022-12-31,Phone,East,2467
2023-10-28,Smartwatch,North,4321
2023-06-10,Phone,East,376
2023-11-30,Monitor,East,2099
2022-11-08,Headphones,North,1327
2022-01-07,Laptop,East,3852
2022-01-03,Tablet,North,3835
2023-09-15,Monitor,North,795
2022-12-29,Laptop,West,1409
2023-05-23,Camera,South,4252
2022-10-01,Camera,South,3334
2023-05-21,Camera,East,4214
2022-01-15,Monitor,East,2411
2022-07-11,Monitor,West,2941
2023-09-23,Tablet,West,4308
2023-04-30,Headphones,West,3659
2022-01-28,Phone,North,3498
2023-12-15,Camera,West,641
2022-02-08,Smartwatch,West,2794
2022-09-30,Headphones,East,4774
2022-08-19,Smartwatch,West,1188
2022-03-27,Tablet,North,3463
2023-04-19,Tablet,North,124
2022-05-06,Tablet,East,1672
2023-06-21,Laptop,West,3058
2022-05-25,Smartwatch,West,4336
2023-06-09,Headphones,North,1867
2022-07-31,Headphones,West,4843
2022-01-25,Monitor,West,2335
2023-08-03,Monitor,West,300
2023-01-29,Camera,South,3298
2022-03-08,Monitor,East,356
2022-08-21,Tablet,South,3847
2022-04-19,Headphones,East,4742
2022-05-26,Smartwatch,North,2341
2022-04-21,Tablet,West,3275
2022-08-16,Laptop,East,3706
2022-04-21,Monitor,South,3436
2023-04-15,Tablet,West,4997
2022-02-03,Tablet,North,513
2023-09-15,Laptop,East,2114
2023-01-04,Phone,East,1481
2023-08-18,Headphones,East,1198
2023-07-08,Smartwatch,West,3526
2023-03-01,Camera,South,3755
2023-09-05,Phone,South,1009
2023-06-02,Monitor,East,287
2023-11-23,Tablet,North,4144
2022-10-09,Laptop,North,3856
2022-11-16,Laptop,South,2115
2023-03-19,Headphones,North,2192
2022-11-11,Phone,South,3744
2023-01-12,Camera,East,2230
2022-10-16,Headphones,South,457
2023-03-13,Tablet,South,2522
2023-10-24,Headphones,East,4357
2022-10-04,Smartwatch,North,4645
2023-12-11,Laptop,South,1597
2023-08-05,Laptop,South,2258
2023-05-18,Monitor,East,2655
2023-09-16,Monitor,North,2442
2023-05-31,Camera,South,3051
2022-12-16,Tablet,East,1338
2023-03-22,Smartwatch,South,1073
2022-12-16,Phone,West,4827
2023-08-30,Headphones,East,4065
2023-10-26,Camera,North,1150
2022-05-17,Tablet,North,3801
2022-08-31,Monitor,North,2880
2023-06-27,Headphones,North,1688
2022-02-09,Monitor,South,3978
2022-08-17,Headphones,South,2468
2023-07-02,Phone,North,536
2022-08-11,Tablet,North,2928
2022-01-06,Headphones,North,1656
2022-11-18,Smartwatch,South,3958
2023-04-13,Camera,North,1404
2022-03-16,Laptop,North,2484
2022-01-04,Smartwatch,West,282
2023-10-08,Smartwatch,West,1689
2022-04-28,Camera,North,1687
2023-08-29,Laptop,East,759
2023-05-19,Smartwatch,North,259
2023-07-28,Headphones,West,4053
2023-03-17,Headphones,East,1111
2022-07-13,Headphones,East,152
2023-12-16,Laptop,North,2407
2023-01-27,Smartwatch,West,1328
2022-01-26,Laptop,West,1135
2023-03-11,Headphones,East,3802
2022-06-22,Camera,North,4145
2022-10-27,Smartwatch,South,4549
2023-10-07,Smartwatch,South,1364
2022-11-22,Monitor,West,1984
2023-02-14,Monitor,South,1909
2022-04-28,Phone,West,3267
2023-12-25,Tablet,West,3897
2022-08-13,Monitor,West,2441
2023-06-16,Laptop,South,3514
2022-04-23,Monitor,West,917
2022-05-20,Phone,East,2537
2023-07-13,Smartwatch,North,988
2022-01-01,Phone,North,767
2022-03-31,Smartwatch,West,4828
2023-10-16,Camera,North,2724
2022-11-16,Camera,South,4332
2023-07-04,Smartwatch,South,4623
2022-05-19,Tablet,North,918
2023-05-26,Monitor,South,2288
2022-09-16,Laptop,North,1206
2023-11-04,Laptop,North,2324
2023-11-21,Headphones,North,297
2022-01-10,Smartwatch,West,2771
2022-09-18,Laptop,North,3592
2023-10-12,Tablet,West,2548
2022-06-21,Smartwatch,North,570
2022-01-13,Tablet,North,2048
2022-06-17,Laptop,North,3999
2023-10-04,Laptop,South,2110
2023-08-19,Headphones,West,3900
2022-11-17,Laptop,West,4218
2022-11-15,Smartwatch,North,3896
2023-09-05,Camera,North,4088
